"Last  4809","JAIN SLEE 1.0 API Javadoc Assertions",,,,,,"T?: 0","High:174","1376 (ex methods)",22,168,354,24,24,318,,449,0,0,3
3445,,,"3","Pfd2","Assertion",,,"Low","Returns the textual representation of the address screening object.",,,,,,,,,,,
3446,"javax.slee.connection.ExternalActivity",,"1","Pfd2","Removed",,,,"The ExternalActivity interface is a marker interface implemented by external activity objects generated by the SLEE for interoperability purposes.","Removed in PFD3",,,,,,,,,,
3447,"javax.slee.connection.ExternalEvent",,"1","Pfd2","Removed",,,,"The ExternalEvent interface is implemented by an EJB component external to the SLEE that is firing an event on an external activity.","Removed in PFD3",,,,,,,,,,
3448,,,"2 ","Pfd2","Removed",,,,"The event type name of external events is ""javax.slee.connection.ExternalEvent"".","Removed in PFD3",,,,,,,,,,
3449,"javax.slee.connection.ExternalEvent","getAddress",,"Pfd2","Removed",,,,,"Removed in PFD3",,,,,,,,,,
3450,,,"2 ","Pfd2","Removed",,,,"Returns the default address of the event.","Removed in PFD3",,,,,,,,,,
3451,"javax.slee.connection.ExternalEvent","getPayload",,"Pfd2","Removed",,,,,"Removed in PFD3",,,,,,,,,,
3452,,,"2 ","Pfd2","Removed",,,,"Returns the event payload.","Removed in PFD3",,,,,,,,,,
4510,"javax.slee.connection.SleeConnectionFactory",,,"Pfd3","Context",,,,"A factory interface allowing the creation of SleeConnection instances. ",,,,,,,,,,,
4511,,,,"Pfd3","Context",,,,"This is modelled as a Connector Architecture non-CCI connection factory interface.",,,,,,,,,,,
4512,,,,"Pfd3","Optional",,,,"A SLEE vendor provides an implementation of this interface if they support external interoperability.",,,,,,,,,,,
4513,,,,"Pfd3","Context",,,,"An implementation of the SleeConnectionFactory is expected to hold all the information necessary to create connections on demand and will be bound into JNDI.  An EJB application retrieves the SleeConnectionFactory from JNDI and uses it to create SleeConnection objects as needed.",,,,,,,,,,,
4514,,,,"Pfd3","Optional",,,,"Implementations of SleeConnectionFactory that are packaged as part of a Connector Architecture ResourceAdaaptor should additionally implement java.io.Serializable and javax.resource.Referencable",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4515,"javax.slee.connection.SleeConnectionFactory","getConnection",,"Pfd3","Optional",,,,"Return a SleeConnection object that corresponds to a connection to the SLEE this factory is associated with.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4516,,,,"Pfd3","Optional",,,,"ResourceException - if a SleeConnection cannot be created",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4517,"javax.slee.connection.ExternalActivityHandle",,,"Pfd3","Context",,,,"A marker interface implemented by external activity handle implementations",,,,,,,,,,,
4518,,,,"Pfd3","Self-Evident",,,,"Instances implementing this interface are returned by SleeConnection.createActivityHandle",,,,,,,,,,,
4519,"javax.slee.connection.ExternalActivityHandle","equals",,"Pfd3","Context",,,,"Compares this handle to another for equality",,,,,,,,,,,
4520,,,,"Pfd3","Optional",,,,"Returns true if other refers to an ExternalActivityHandle corresponding to the same underlying SLEE activity.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4521,"javax.slee.connection.ExternalActivityHandle","hashCode",,"Pfd3","Optional",,,,"Returns a hashcode for this handle",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4522,,,,"Pfd3","Optional",,,,"Implementations of ExternalActivityHandle should ensure their implementation of hashCode() is consistent with equals()",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4485,"javax.slee.connection.SleeConnection",,"1","Pfd3","Context",,,,"An application handle to a physical event-delivery connection to a SLEE.",,,,,,,,,,,
3453,,,"1","Pfd2","Optional",,,,"This interface is used by EJB components external to the SLEE to communicate with the SLEE's event routing subsystem.",,,,,,,,,,,
3454,,,"2 ","Pfd2","Optional",,,,"A SLEE vendor provides an implementation of this interface if they support external interoperability.",,,,,,,,,,,
4486,,,"3","Pfd3","Context",,,,"Instances of SleeConnection are created by an EJB application calling SleeConnectionFactory.getConnection ",,,,,,,,,,,
4487,,,"4","Pfd3","Out of Scope",,,,"Implementations may defer validation of arguments and detection of errors beyond the return of a method invocation.",,,,,,,,,,,
4488,,,"4","Pfd3","Ap Recom",,,,"... Clients of this interface should not depend on exceptions being thrown in the face of these errors",,,,,,,,,,,
3455,"javax.slee.connection.SleeConnection","createActivity",,"Pfd2","Removed",,,,,"Removed in PFD3",,,,,,,,,,
3456,,,"2 ","Pfd2","Removed",,,,"This is a required transactional method.","Removed in PFD3",,,,,,,,,,
3457,,,"3","Pfd2","Removed",,,,"Returns an ExternalActivity object representing a new activity created in the SLEE.","Removed in PFD3",,,,,,,,,,
3458,,,"4.1","Pfd2","Removed",,,,"FactoryException - if the activity could not be created by the SLEE due to a system-level failure.","Removed in PFD3",,,,,,,,,,
4489,"javax.slee.connection.SleeConnection","createActivityHandle","1","Pfd3","Method",,,,,,"Not testable, as SLEE vendors are not required to support external interoperability.",,,,,,,,,
4490,,,"2 ","Pfd3","Optional",,,,"Creates a new external activity handle.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4491,,,"2 ","Pfd3","Optional",,,,"The external handle may be used to fire events to an external SLEE activity.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4492,,,"2 ","Pfd3","Optional",,,,"Events fired using a particular external activity handle will be delivered to a single activity within the SLEE, with the exception that the SLEE may end the activity if no SBBs remain attached, and recreate a new activity for a subsequent event fired with the same handle.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4493,,,"3.2","Pfd3","Optional",,,,"ResourceException - if this connection is closed, or an activity handle could not be allocated due to a system level failure.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4494,,,"3.1","Pfd3","Optional",,,,"Returns a new, unique ExternalActivityHandle object",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
3459,"javax.slee.connection.SleeConnection","endActivity",,"Pfd2","Removed",,,,,"Removed in PFD3",,,,,,,,,,
3460,,,"2 ","Pfd2","Removed",,,,"This is a required transactional method.","Removed in PFD3",,,,,,,,,,
3461,,,"3","Pfd2","Removed",,,,"activity - the external activity to end.  This activity must have been previously obtained from the createActivity() method.","Removed in PFD3",,,,,,,,,,
3462,,,"4.1","Pfd2","Removed",,,,"java.lang.NullPointerException - if activity is null.","Removed in PFD3",,,,,,,,,,
3463,,,"4.2","Pfd2","Removed",,,,"UnrecognizedActivityException - if activity is not a valid external activity created by the SLEE.","Removed in PFD3",,,,,,,,,,
3464,,,"4.3","Pfd2","Removed",,,,"SLEEException - if the activity could not be ended due to a system-level failure.","Removed in PFD3",,,,,,,,,,
4495,"javax.slee.connection.SleeConnection","getEventTypeID",,"Pfd3","Method",,,,,,"Not testable, as SLEE vendors are not required to support external interoperability.",,,,,,,,,
4496,,,"1","Pfd3","Optional",,,,"Retrieves an EventTypeID that identifies a particular SLEE event",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4497,,,"1","Pfd3","Context",,,,"This method does not necessarily validate the existence of the event type in the SLEE.",,,,,,,,,,,
4498,,,"2.1","Pfd3","Optional",,,,"UnrecognizedEventException if the SleeConnection determines there is no corresponding event known to the SLEE",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4499,,,"2.2","Pfd3","Optional",,,,"ResourcecException if this connection is closed, or the relevant EventTypeID could not be located due to a system-level failure.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
3465,"javax.slee.connection.SleeConnection","fireEvent",,"Pfd2","Optional",,,,,,,,,,,,,,,
4500,,,"1","Pfd3","Optional",,,,"Fires an event on an external activity.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
3466,,,"2 ","Pfd2","Optional",,,,"If a transaction is in progress, the event is only delivered if the transaction commits.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
3467,,,"4.1","Pfd2","Optional",,,,"java.lang.NullPointerException - if event, eventType or activityHandle is null.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
3468,,,"4.2","Pfd2","Optional",,,,"UnrecognizedActivityException - if activity is not a valid external activity handle.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4501,,,"4.2","Pfd3","Optional",,,,"UnrecognizedEventException if eventType is not a valid SLEE event type.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
3469,,,"4.3","Pfd2","Impossible",,,,"ResourceException - if the connection is closed or the event could not be fired due to a system-level failure.",,,,,,,,,,,
4502,"javax.slee.connection.SleeConnection","close",,"Pfd3","Method",,,,,,"Not testable, as SLEE vendors are not required to support external interoperability.",,,,,,,,,
4503,,,"1","Pfd3","Optional",,,,"Closes this SleeConnection, any further use of this SleeConnection will result in a ResourceException being thrown.",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
4504,,,"2 ","Pfd3","Optional",,,,"ResourceException - if the connection is already closed or could not be closed due to a system level failure",,"SLEE vendors are not required to support external interoperability.",,,,,,,,,
3470,"javax.slee.facilities.ActivityContextNamingFacility",,"1","Pfd2","Context",,,,"The Activity Context Naming Facility provides a global flat namespace for naming Activity Contexts.",,,,,,,,,,,
3471,,,"1","Pfd2","Context",,,,"It allows an SBB entity to bind a name to an Activity Context, and other SBb entities to lookup the Activity Context by this name.",,,,,,,,,,,
3472,,,"1","Pfd2","Covered",1347,,,"An Activity Context can be bound to zero or more names.",,,,,,,,,,,
3473,,,"2 ","Pfd2","Assertion",,,"High","This facility is transactional in nature.  Naming operations only take effect once the enclosing transaction commits.",,,"Test3473Test",,,"Name an Activity, mark the transaction for rollback, ensure that the created name is not visible in another transaction (for example a following event handler).","Cath","Complete",,,
3474,,,"3","Pfd2","Covered",1413,,,"SBB JNDI Location: java:comp/env/slee/facilities/activitycontextnaming",,,,,,,,,,,
3475,"javax.slee.facilities.ActivityContextNamingFacility","bind",,"Pfd2","Method","1353,1360,1362,1361,1356",,,,,,,,,,,"Complete",,,
3476,,,"2 ","Pfd2","Covered",1353,,,"This method is a mandatory transactional method.",,,,,,,,,,,
3477,,,"4.1","Pfd2","Covered",1360,,,"java.lang.NullPointerException - if any argument is null.",,,,,,,,,,,
3478,,,"4.2","Pfd2","Covered",1362,,,"java.lang.IllegalArgumentException - if name is zero-length",,,,,,,,,,,
3479,,,"4.3","Pfd2","Covered",1361,,,"NameAlreadyBoundException - if the specified name is already bound to some Activity Context.",,,,,,,,,,,
4807,,,"4.4","Pfd3","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3480,,,"4.5","Pfd2","Removed",,,,"TransactionRolledBackLocalException - if this method was invoked without a valid transaction context and the transaction started by this method failed to commit.",,"We never have a guaranteed 'non-transactional' context to test from, and have no means to force a roll back even if we detect no transaction.",,,,,,,,,
3481,,,"4.6","Pfd2","Covered",1356,,,"FacilityException - if the activity context could not be bound due to a system-level failure.",,,,,,,,,,,
3482,"javax.slee.facilities.ActivityContextNamingFacility","unbind",,"Pfd2","Method","1353,1366,1367,1356",,,,,,,,,,,"Complete",,,
3483,,,"2 ","Pfd2","Covered",1353,,,"This method is a mandatory transactional method.",,,,,,,,,,,
3484,,,"4.1","Pfd2","Covered",1366,,,"NullPointerException - if name is null",,,,,,,,,,,
4808,,,"4.2","Pfd3","Impossible",,,,"TransactionRequiredLocalException - if this method is invoked without a valid transaction context.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,,,,,
3485,,,"4.3","Pfd2","Covered",1367,,,"NameNotBoundException - if the specified name is not currently bound to an Activity Context.",,,,,,,,,,,
3486,,,"4.4","Pfd2","Removed",,,,"TransactionRolledBackLocalException - if this method was invoked without a valid transaction context and the transaction started by this method failed to commit.",,"We never have a guaranteed 'non-transactional' context to test from, and have no means to force a roll back even if we detect no transaction.",,,,,,,,,
3487,,,"4.5","Pfd2","Covered",1356,,,"FacilityException  - if the name could not be unbound due to a system-level failure.",,,,,,,,,,,
3488,"javax.slee.facilities.ActivityContextNamingFacility","lookup",,"Pfd2","Method","1353,13790,1372,1371,1356",,,,,,,,,,,"Complete",,,
3489,,,"2 ","Pfd2","Covered",1353,,,"This method is a mandatory transactional method.",,,,,,,,,,,
