"Last: 2510","JAIN SLEE 1.0 Technical Specification Assertions",,,,,"T?: 0",,9,306,503,74,90,462,"Active: 1"
475,"6.10.2","2.1","Pfd3","Impossible",,,"(settRollbackOnly) It is a mandatory transactional method.  If this method is invoked when the SBB object is not currently invoked within a transaction, then the SLEE will throw a javax.slee.TransactionRequiredLocalException.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
476,"6.10.2","2.2","Pfd3","Impossible",,,"It throws a javax.slee.SLEEException if the requested operation cannot be performed due to a system-level failure.",,,,,,,
477,"6.10.3","2.1","Pfd3","Impossible",,,"It is a mandatory transactional method.  If this method is invoked when the SBB object is not currently invoked with a transaction, then the SLEE will throw a javax.slee.TransactionRequiredLocalException.",,"We never have a guaranteed 'non-transactional' context to test from.",,,,,
478,"6.10.3","2.2","Pfd3","Impossible",,,"It throws a javax.slee.SLEEException if the requested operation cannot be performed due to a system-level failure.",,,,,,,
479,"6.11","3","Pfd3","Assertion",,,"If the SBB component is specified as non-reentrant in the deployment descriptor, the SLEE must reject an attempt to re-enter the SBB entity while the SBB entity is executing a method invocation.  If the attempt is made to re-enter the SBB entity, the SLEE must throw the javax.slee.SLEEException to the caller.",,,"sbb.abstractclass.NonReentrant",,"Test both local interface methods and an attempt to remove oneself.  Both should fail.","Fire events at an sbb.  In the event-handler methods attempt to invoke reentrant methods.  Check exception thrown is correct","Complete"
480,"6.11","3","Pfd3","Assertion",,,"The SLEE must allow the call if the SBB component's deployment descriptor specifies that the SBB component is re-entrant.",,,"sbb.abstractclass.Reentrant",,"Test user-defined local interface methods can be invoked on oneself.  Test also that the object invoked has the same transactional state as the caller.","In eventhandler method, get local object reference for oneself and invoke methods on it.  Set CMP state before invocation, and check value of CMP state in invoked method - it should be the same.","Complete"
481,"6.12","1","Pfd3","Ap Req",,,"Non-private methods that are declared by the SBB developer must not begin with ""sbb"" or ""ejb"".  This restriction does not apply when the SBB Developer implements an ""sbb<XXX>"" method declared by the SLEE, such as the life  cycle methods declared in the javax.slee.Sbb interface.",,,"481, 481A, 481B and 481C",,,"Declare a public or protected method that begins with 'sbb' or 'ejb'.  Verify that the DU does not deploy.","Complete"
482,"6.13.1","1.2","Pfd3","Context",,,"The SLEE provides an implementation of the JNDI naming context that stores the SBB component environment.",,,,,,,
483,"6.13.1","1.3.1","Pfd3","Removed",,,"The SLEE provides an entry for an SBB component identifier that identifies the SBB component.",,,,,,,
484,"6.13.1","1.3.2","Pfd3","Context",,,"The SLEE provides an entry for each SLEE Facility.",,,,,,,
485,"6.13.1","1.3.3","Pfd3","Context",,,"The SLEE provides an entry for each SLEE specification defined Activity Context Interface  Factory.",,,,,,,
486,"6.13.1.1.1","1","Pfd3","Ap Recom",,,"SBB Objects locate the environment naming context using the JNDI interfaces. An SBB Object creates a javax.naming.InitialContext object by using the constructor with no arguments, and looks up the environment naming via the InitialContext under the name java:comp/env.",,,,,,,
487,"6.13.1.1.1","2","Pfd3","Removed",,,"SBB component identifier: slee/sbb/id",,,"sbb.abstractclass.JndiEnvironment",,,"Lookup sbb id from jndi.  Check returned object is assignable to the required interface.","Removed"
488,"6.13.1.1.1","2","Pfd3","Covered","1409,1410,1411,1412,1413,1414,1415,1416",,"SLEE Facilities: slee/facilities/...",,,,,,,
489,"6.13.1.1.1","2","Pfd3","Covered","(many)",,"Resources: slee/resources/...",,"Tested implicitly by all tests which use Sbbs, as all TCK Sbbs reference the TCK resource adaptor.",,,,,
490,"6.13.1.1.2","1","Pfd3","Ap Req",,,"The SBB Developer must declare all the environment entries accessed from the SBB component's code.  The environment entries are declared using the env-entry elements in the SBB deployment descriptor.",,,,,,,
491,"6.13.1.1.2","2","Pfd3","DD Structure",,,"Each env-entry element d escribes a single environment entry.",,,,,,,
492,"6.13.1.1.2","2.1","Pfd3","DD Structure",,,"Each env-element contains an optional description element.",,,,,,,
493,"6.13.1.1.2","2.2","Pfd3","DD Structure",,,"Each env-element contains an env-entry-name element that specifies a  name relative to the java:comp/env context.",,,,,,,
494,"6.13.1.1.2","2.3","Pfd3","DD Structure",,,"Each env-element contains an env-entry-type element that specifies the expected Java type of the environment entry value.",,,,,,,
495,"6.13.1.1.2","2.4","Pfd3","DD Structure",,,"Each env-entry element contains an optional env-entry-value element that specifies the value of the environment entry.",,,,,,,
496,"6.13.1.1.2","2.5","Pfd3","Assertion",,,"An environment entry is scoped to the SBB component whose declaration contains the env-entry element.  This means that the environment entry is inaccessible from other SBB components at runtime, and that other SBB components may define env-entry elements with the same env-entry-name without causing a name conflict.",,,"sbb.abstractclass.EnvEntryScope",,,"Define environment entries with the same name but different values in different sbb types in parent/child relationships.  Also define an sbb type that doesn't have the environment entry defined.  Check values are correct in sbbs, or alternatively that the entry is not defined, as appropriate","Complete"
497,"6.13.1.1.2","2.6","Pfd3","Ap Req",,,"The environment entry values may be one of the following Java types: String, Character, Integer, Boolean, Double, Byte, Short, Long and Float.",,,"sbb.abstractclass.EnvEntryTypes",,,"Define environment entries of all allowable types; check in sbb that all env entries appear in jndi with the right type","Complete"
498,"6.13.1.1.2","2.7","Pfd3","Ap Recom",,,"If the SBB Developer provides a value for an environment entry using the env-entry-value element, the value can be changed later by the SBB Developer or Service Deployer.  ",,,,,,,
499,"6.13.1.1.2","2.7","Pfd3","Ap Req",,,"The value must be a  string that is valid for the constructor of the specified type that takes a single String parameter, or for java.lang.Character, a single character.",,,,,,,
500,"6.13.1.2","1","Pfd3","Ap Recom",,,"The Service Deployer must ensure that the values of all the environment entries declared by the SBB component are set to meaningful values.",,,,,,,
501,"6.13.1.2","1","Pfd3","Ap Recom",,,"The Service Deployer can modify the values of the environment entries that have been previously set by the SBB Developer, and must set the values of those environment entries for which no value has been specified.",,,,,,,
502,"6.13.2.1.1","1","Pfd3","Context",,,"The SBB Developer must use resource adaptor type bindings to obtain references to resource adaptor type defined Activity Context Interface Factory objects (see Section 7.6.1) as follows.",,,,,,,
503,"6.13.2.1.1","1.1","Pfd3","Context",,,"Assign an entry in the SBB's component environment to the resource adaptor type binding.",,,,,,,
504,"6.13.2.1.1","1.2","Pfd3","Context",,,"Lookup the resource adaptor type defined Activity Context Interface Factory objects in the SBB's component environment using the JNDI interface.",,,,,,,
505,"6.13.2.1.2","1","Pfd3","Ap Req",,,"Although a resource adaptor type binding is an entry in the SBB's component environment, the SBB Developer must not use an env-entry element to declare it.  Instead, the SBB Developer must declare all the resource adaptor type bindings in the SBB deployment descriptor using resource-adaptor-type-binding.",,,,,,,
506,"6.13.2.1.2","3.1","Pfd3","DD Structure",,,"The resource-adaptor-type-binding contains an optional description element.",,,,,,,
507,"6.13.2.1.2","3.2","Pfd3","DD Structure",,,"The resource-adaptor-type-binding contains a resource-adaptor-type-ref element, which identifies the resource adaptor type of the resource adaptor type binding.  It contains a resource-adaptor-type-name sub-element, a resource-adaptor-type-vendor sub-element, and a resource-adaptor-type-version sub-element.",,,,,,,
508,"6.13.2.1.2","3.2","Pfd3","Ap Req",,,"The above sub-elements must match exactly the corresponding sub-elements in the resource-adaptor-type element (see Section 14.1.2) of the resource adaptor type.",,,,,,,
509,"6.13.2.1.2","3.3","Pfd3","DD Structure",,,"The resource-adaptor-type-binding contains an activity-context-interface-factory-name element, which contains the name of the environment entry used in the SBB's component code to access an Activity Context Interface Factory object of the resource adaptor type.",,,,,,,
510,"6.13.2.1.2","3.3","Pfd3","Covered","(many)",,"The name of the environment entry is relative to the java:comp/env context (e.g. the name should be slee/resources/jcc/... rather than java:comp/env/slee/resources/jcc/...)",,"Tested implicitly by all tests which use Sbbs, as all TCK Sbbs reference the TCK resource adaptor.",,,,,
511,"6.13.2.1.2","3.4","Pfd3","DD Structure",,,"The resource-adaptor-type-binding contains zero or more resource-adaptor-entity-binding elements (see Section 6.15.3.1.2).",,,,,,,
2491,"6.13.2.1.2","4","Pfd3","Assertion",,,"Each SBB component has its own set of resource adaptor type binding entries.  The resource adaptor type binding environment entries are not shared with other SBB components. ",,,,,,,
2492,"6.13.2.1.2","4","Pfd3","Assertion",,,"The SBB component environment may not be modified at runtime.",,,,,,,
